Clap, Swipe Down With Left, Swipe Down With Right, Swipe To Left, Swipe To Right, Swipe Up With Left, Swipe Up With Right, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424496791641444, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424334219485876, Infinity, 0.436938680284127, Infinity, 0.246375630810045, Infinity, Infinity, 
0.421376083759015, 0.474242789519154, 0.434399264049418, 0.321910671487585, 0.243848859931481, 0.303988357812675, 0.329181808897684, 
0.4212156345856, 0.474289363075931, 0.434424078290195, 0.321954743369545, 0.243358041725502, 0.3035467962988, 0.329027188253314, 
0.421153964930731, 0.474357506291316, 0.434460144181074, 0.322016328114021, 0.242901188176754, 0.303073365595784, 0.328943504163671, 
0.421112826821676, 0.474284217111225, 0.434552010979902, 0.322099473133804, 0.242289263856308, 0.302407483160871, 0.32877902346517, 
0.421119533496026, 0.474038323124853, 0.434611184802739, 0.322176435714918, 0.241679530575835, 0.301693235273274, 0.328638263540841, 
0.421169375674647, 0.473685370332181, 0.434737805751114, 0.322304160029741, 0.24103861608272, 0.300956692160724, 0.328564275777793, 
0.421269034356107, 0.47328873168157, 0.434858234312767, 0.322427309973319, 0.240474333294791, 0.300301948377587, 0.328536052632665, 
0.421418056237069, 0.472955468864409, 0.435028363535986, 0.322600445193663, 0.240079849781498, 0.299828393774008, 0.328544876355152, 
0.421622239875493, 0.472750188706738, 0.435182812472564, 0.322751192557067, 0.239913117433634, 0.299595640207105, 0.328582987361589, 
0.421851529383315, 0.472655376870573, 0.435377361432984, 0.322956259657502, 0.239837643093406, 0.299489986070077, 0.328665270525031, 
0.422115492384076, 0.472629620521373, 0.435553742643503, 0.323145667566671, 0.239848133144643, 0.299467747370606, 0.328760773239073, 
0.422381028943762, 0.472654006789872, 0.435772832007256, 0.323382083096789, 0.239875246200391, 0.299484106997146, 0.328889058895706, 
0.422682172225564, 0.472737384370184, 0.43599658919752, 0.323618800077392, 0.239962998582524, 0.299568506464591, 0.329037105945551, 
0.422945864037, 0.472845709286893, 0.436241466840139, 0.323879481601267, 0.240026804278344, 0.299636692082692, 0.329196187545436, 
0.423219551628397, 0.473008901330711, 0.436463535641281, 0.324115226771129, 0.240117066301668, 0.299731274354943, 0.329357043520552, 
0.423405054572117, 0.473164941193593, 0.436688966364778, 0.324341499300371, 0.240186433554485, 0.299805076308948, 0.329491458017042, 
0.423230802654108, 0.473389406533862, 0.436928009698778, 0.32458035707703, 0.240288661674033, 0.299900642263885, 0.329667608194308, 
0.42275300846827, 0.47357688417388, 0.437111106943284, 0.324748572606401, 0.240351516379957, 0.299959917597711, 0.329764006255828, 
0.422158171313067, 0.473845532776504, 0.437344565430463, 0.324973474330974, 0.240487006374046, 0.300080749546001, 0.329945808149767, 
0.421442545480396, 0.474038058446089, 0.437482078179763, 0.32511385468154, 0.240560966908093, 0.300138376844777, 0.33001944381425, 
0.420895149030247, 0.474281295106984, 0.437647021947515, 0.325293058836748, 0.240711863177249, 0.300246466773263, 0.330146758711187, 
0.420454942774002, 0.474463002324621, 0.437762170830771, 0.325425168896318, 0.240845852247719, 0.300337295841861, 0.330210269949117, 
