Clap, Swipe Down R, Swipe L, Swipe R, Swipe Up R, Wave L, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.243961297495769, 0.383354130899633, Infinity, Infinity, Infinity, Infinity, 
0.243528685698571, 0.383399461450956, Infinity, Infinity, Infinity, Infinity, 
0.213909630518737, 0.398336143596829, 0.288190116417532, 0.129333731714255, 0.353415344487205, 0.512619640636427, 
0.214874871093007, 0.400354779099766, 0.286563039913026, 0.127716141799679, 0.352653035590327, 0.511783296756831, 
0.216589111773894, 0.402963737059556, 0.283091637654197, 0.127129883725266, 0.351114964866601, 0.509348593465079, 
0.219270102315937, 0.404339052402788, 0.278387960680126, 0.127753572922142, 0.348299703005437, 0.505172053636013, 
0.223358345504578, 0.405085395685266, 0.273604619005791, 0.129057587615226, 0.342779630175019, 0.498241757415658, 
0.229576587298669, 0.40630987650892, 0.271175177850367, 0.131416546493099, 0.337630934160511, 0.49074099002499, 
0.236756656734877, 0.406971517700111, 0.270026273354545, 0.134010342914207, 0.333675161572238, 0.483605457217336, 
0.245017072346975, 0.407532052350608, 0.270012201872418, 0.137040568069976, 0.33156804668814, 0.477049617347083, 
0.254222025847825, 0.408811344782155, 0.270189608071204, 0.140172828576428, 0.330575804508335, 0.470936431988667, 
0.263769874239258, 0.409649344423487, 0.270739579971245, 0.143345867911584, 0.330090981185363, 0.465873362553903, 
0.273661138261728, 0.410740169467075, 0.27119667596452, 0.146555036740532, 0.329858121335955, 0.461751406256208, 
0.283342363989972, 0.411461784477242, 0.272086796498641, 0.149540493364626, 0.329342536428205, 0.458112816500031, 
0.292811970482611, 0.400981242416655, 0.272496339198333, 0.152544042671776, 0.328041337860135, 0.455356406773417, 
0.301725398513119, 0.38448479475218, 0.272992252008892, 0.155294640469896, 0.32566292296521, 0.452956767880819, 
0.310227452165739, 0.366092283458912, 0.27336462685716, 0.158126261608333, 0.316131177909913, 0.450686145730673, 
0.318100886851482, 0.348240782742092, 0.273558677018087, 0.160839316124873, 0.303880715891168, 0.448591318844728, 
0.325586892284411, 0.332656244680919, 0.273808562144475, 0.163831469409945, 0.291630392000193, 0.446796448949799, 
0.331622314778573, 0.319955991674913, 0.272539156662933, 0.167314849134392, 0.28118516312597, 0.445278074044355, 
0.331599174652434, 0.312970158969167, 0.269302294771333, 0.170859731287575, 0.273197705004661, 0.444193250984384, 
0.328561966005511, 0.309328953944768, 0.265859433060709, 0.17475038003883, 0.26749570640752, 0.443329171828092, 
0.324597471551196, 0.307470595608758, 0.262276839467712, 0.179256424503235, 0.263326278446113, 0.439876934797028, 
0.320946458270158, 0.30654815956102, 0.258879030315023, 0.184501978992221, 0.26000436446312, 0.43261050992281, 
